Frequency (Hz)	Level (dB)
5.383301	-68.676125
10.766602	-77.162605
16.149902	-77.613556
21.533203	-74.827057
26.916504	-71.619148
32.299805	-71.297997
37.683105	-70.572617
43.066406	-67.497925
48.449707	-65.830391
53.833008	-60.647076
59.216309	-55.731270
64.599609	-53.705685
69.982910	-53.883236
75.366211	-52.254765
80.749512	-47.496696
86.132813	-46.392990
91.516113	-48.201973
96.899414	-47.294472
102.282715	-47.936619
107.666016	-43.909950
113.049316	-45.306740
118.432617	-48.237171
123.815918	-45.872246
129.199219	-45.821468
134.582520	-47.812927
139.965820	-51.824593
145.349121	-48.290337
150.732422	-50.334980
156.115723	-51.770748
161.499023	-42.289791
166.882324	-41.438927
172.265625	-41.061028
177.648926	-42.182796
183.032227	-49.958668
188.415527	-48.650124
193.798828	-41.912251
199.182129	-43.634903
204.565430	-53.056461
209.948730	-54.388180
215.332031	-44.924885
220.715332	-42.620216
226.098633	-48.265888
231.481934	-54.507145
236.865234	-53.199162
242.248535	-44.316883
247.631836	-41.283970
253.015137	-46.159626
258.398438	-45.029095
263.781738	-44.391792
269.165039	-51.590309
274.548340	-54.094677
279.931641	-55.669743
285.314941	-52.886791
290.698242	-43.929775
296.081543	-43.427418
301.464844	-51.440777
306.848145	-53.956200
312.231445	-54.998249
317.614746	-55.141644
322.998047	-47.269176
328.381348	-41.236610
333.764648	-43.941803
339.147949	-51.323677
344.531250	-43.783352
349.914551	-40.609005
355.297852	-46.537060
360.681152	-54.346352
366.064453	-48.278446
371.447754	-47.327984
376.831055	-53.642128
382.214355	-52.902634
387.597656	-43.121891
392.980957	-39.692528
398.364258	-45.150120
403.747559	-54.050381
409.130859	-52.885941
414.514160	-53.566525
419.897461	-56.303215
425.280762	-56.242435
430.664063	-49.700439
436.047363	-38.918198
441.430664	-37.147129
446.813965	-44.774982
452.197266	-52.572132
457.580566	-56.869827
462.963867	-57.078949
468.347168	-57.789299
473.730469	-55.937855
479.113770	-53.936554
484.497070	-47.222343
489.880371	-37.996933
495.263672	-36.112400
500.646973	-42.832523
506.030273	-50.734047
511.413574	-50.433758
516.796875	-43.353920
522.180176	-36.292950
527.563477	-38.056511
532.946777	-47.826130
538.330078	-54.224911
543.713379	-57.198242
549.096680	-54.510067
554.479980	-54.090454
559.863281	-56.014297
565.246582	-56.934196
570.629883	-54.094692
576.013184	-50.370174
581.396484	-42.629772
586.779785	-37.119179
592.163086	-40.558525
597.546387	-49.502331
602.929688	-52.767269
608.312988	-52.848221
613.696289	-52.358486
619.079590	-52.496342
624.462891	-57.492046
629.846191	-59.202122
635.229492	-58.115402
640.612793	-56.705173
645.996094	-53.670326
651.379395	-47.717800
656.762695	-41.069679
662.145996	-40.342060
667.529297	-47.168068
672.912598	-53.797749
678.295898	-54.952019
683.679199	-52.246147
689.062500	-53.151897
694.445801	-46.410370
699.829102	-42.997608
705.212402	-48.014938
710.595703	-56.933811
715.979004	-59.486481
721.362305	-59.787556
726.745605	-58.305752
732.128906	-51.142895
737.512207	-46.803078
742.895508	-47.333870
748.278809	-54.164055
753.662109	-59.799019
759.045410	-59.459499
764.428711	-53.669319
769.812012	-47.585697
775.195313	-49.103844
780.578613	-45.904575
785.961914	-42.518269
791.345215	-47.680481
796.728516	-56.869701
802.111816	-60.263260
807.495117	-59.984627
812.878418	-60.164425
818.261719	-53.828354
823.645020	-47.362350
829.028320	-49.223770
834.411621	-56.815285
839.794922	-59.032837
845.178223	-58.717010
850.561523	-57.085545
855.944824	-55.053852
861.328125	-50.086025
866.711426	-46.401169
872.094727	-41.275185
877.478027	-35.194942
882.861328	-34.331242
888.244629	-40.786350
893.627930	-48.602303
899.011230	-53.315895
904.394531	-53.437443
909.777832	-52.286339
915.161133	-51.401737
920.544434	-52.521580
925.927734	-55.490898
931.311035	-56.793118
936.694336	-57.653923
942.077637	-59.290543
947.460938	-58.535755
952.844238	-58.634087
958.227539	-54.235138
963.610840	-53.307106
968.994141	-54.733883
974.377441	-51.156166
979.760742	-45.493839
985.144043	-39.477272
990.527344	-37.705368
995.910645	-42.899918
1001.293945	-50.933475
1006.677246	-55.283165
1012.060547	-56.995975
1017.443848	-56.651901
1022.827148	-54.142986
1028.210449	-51.056091
1033.593750	-49.773739
1038.977051	-44.006210
1044.360352	-36.853439
1049.743652	-35.484982
1055.126953	-41.414112
1060.510254	-50.119026
1065.893555	-54.166351
1071.276855	-55.241516
1076.660156	-53.677238
1082.043457	-54.734894
1087.426758	-56.903252
1092.810059	-55.027740
1098.193359	-46.891666
1103.576660	-45.391613
1108.959961	-50.488140
1114.343262	-52.215656
1119.726563	-55.114910
1125.109863	-59.200745
1130.493164	-60.280834
1135.876465	-57.509209
1141.259766	-57.895359
1146.643066	-58.416054
1152.026367	-54.092552
1157.409668	-50.361271
1162.792969	-50.185310
1168.176270	-44.796280
1173.559570	-37.548756
1178.942871	-37.983013
1184.326172	-44.906761
1189.709473	-51.860954
1195.092773	-56.045948
1200.476074	-58.114731
1205.859375	-58.033638
1211.242676	-56.651196
1216.625977	-53.880131
1222.009277	-52.212540
1227.392578	-50.652962
1232.775879	-49.494068
1238.159180	-45.829865
1243.542480	-49.068951
1248.925781	-56.097511
1254.309082	-58.239601
1259.692383	-60.893707
1265.075684	-62.170391
1270.458984	-60.530113
1275.842285	-56.456604
1281.225586	-58.155239
1286.608887	-59.520973
1291.992188	-57.718063
1297.375488	-56.216953
1302.758789	-53.832924
1308.142090	-49.830696
1313.525391	-45.085491
1318.908691	-40.437057
1324.291992	-39.531578
1329.675293	-45.062557
1335.058594	-52.680748
1340.441895	-56.371384
1345.825195	-57.455509
1351.208496	-59.485046
1356.591797	-58.944530
1361.975098	-56.431442
1367.358398	-55.341541
1372.741699	-52.303787
1378.125000	-50.279041
1383.508301	-52.445435
1388.891602	-49.607540
1394.274902	-43.384808
1399.658203	-38.677288
1405.041504	-41.643066
1410.424805	-49.121395
1415.808105	-54.528084
1421.191406	-56.924343
1426.574707	-58.904514
1431.958008	-59.537868
1437.341309	-58.522057
1442.724609	-57.197155
1448.107910	-57.907982
1453.491211	-60.051987
1458.874512	-59.768505
1464.257813	-56.296658
1469.641113	-49.011238
1475.024414	-49.512955
1480.407715	-52.838341
1485.791016	-47.851669
1491.174316	-48.113430
1496.557617	-53.733833
1501.940918	-58.607197
1507.324219	-61.763042
1512.707520	-62.218548
1518.090820	-60.500957
1523.474121	-60.452610
1528.857422	-61.273998
1534.240723	-60.356312
1539.624023	-58.496338
1545.007324	-55.095367
1550.390625	-56.363056
1555.773926	-56.158859
1561.157227	-54.039310
1566.540527	-48.312660
1571.923828	-42.213314
1577.307129	-43.170372
1582.690430	-49.032734
1588.073730	-54.964241
1593.457031	-58.151440
1598.840332	-59.465092
1604.223633	-60.555298
1609.606934	-61.495544
1614.990234	-60.181160
1620.373535	-59.680267
1625.756836	-60.533718
1631.140137	-62.568329
1636.523438	-63.429684
1641.906738	-61.198112
1647.290039	-53.406372
1652.673340	-49.388634
1658.056641	-52.683521
1663.439941	-55.643238
1668.823242	-54.289246
1674.206543	-55.389385
1679.589844	-60.504360
1684.973145	-65.379044
1690.356445	-65.940987
1695.739746	-65.102257
1701.123047	-64.176956
1706.506348	-62.715641
1711.889648	-62.295105
1717.272949	-64.529755
1722.656250	-64.443848
1728.039551	-61.389664
1733.422852	-55.706425
1738.806152	-53.784332
1744.189453	-57.546509
1749.572754	-56.546867
1754.956055	-54.132042
1760.339355	-50.517128
1765.722656	-46.077793
1771.105957	-46.303097
1776.489258	-52.082561
1781.872559	-57.348480
1787.255859	-59.261604
1792.639160	-60.842667
1798.022461	-63.460102
1803.405762	-64.337753
1808.789063	-65.258858
1814.172363	-64.868431
1819.555664	-62.997353
1824.938965	-63.947319
1830.322266	-61.990791
1835.705566	-58.160511
1841.088867	-57.193363
1846.472168	-59.770020
1851.855469	-58.396095
1857.238770	-58.306416
1862.622070	-63.536037
1868.005371	-60.953407
1873.388672	-57.335407
1878.771973	-59.335621
1884.155273	-63.959805
1889.538574	-66.113251
1894.921875	-65.343208
1900.305176	-65.382332
1905.688477	-67.780952
1911.071777	-67.930252
1916.455078	-64.112015
1921.838379	-60.008995
1927.221680	-63.384312
1932.604980	-63.934559
1937.988281	-61.828201
1943.371582	-58.963417
1948.754883	-60.080963
1954.138184	-61.774536
1959.521484	-61.214069
1964.904785	-56.805908
1970.288086	-54.469990
1975.671387	-50.549793
1981.054688	-46.726559
1986.437988	-45.706753
1991.821289	-45.453747
1997.204590	-51.491753
2002.587891	-57.582813
2007.971191	-60.500381
2013.354492	-62.530052
2018.737793	-63.707367
2024.121094	-64.997635
2029.504395	-64.427406
2034.887695	-60.042965
2040.270996	-62.008831
2045.654297	-67.382118
2051.037598	-66.861938
2056.420898	-65.960304
2061.804199	-58.548454
2067.187500	-55.303368
2072.570801	-58.581810
2077.954102	-59.464638
2083.337402	-58.322998
2088.720703	-58.005653
2094.104004	-51.839775
2099.487305	-47.718616
2104.870605	-47.590244
2110.253906	-47.226734
2115.637207	-50.926338
2121.020508	-56.149368
2126.403809	-58.701908
2131.787109	-61.061390
2137.170410	-62.844307
2142.553711	-64.517822
2147.937012	-68.221191
2153.320313	-68.788162
2158.703613	-69.288628
2164.086914	-67.053314
2169.470215	-64.142319
2174.853516	-62.886154
2180.236816	-58.806774
2185.620117	-59.054214
2191.003418	-66.131630
2196.386719	-66.152824
2201.770020	-63.253098
2207.153320	-59.586647
2212.536621	-55.905838
2217.919922	-55.595428
2223.303223	-57.696999
2228.686523	-59.955025
2234.069824	-65.418762
2239.453125	-63.417778
2244.836426	-58.104660
2250.219727	-60.157589
2255.603027	-64.515083
2260.986328	-66.334015
2266.369629	-69.199059
2271.752930	-69.930695
2277.136230	-68.006416
2282.519531	-60.917160
2287.902832	-60.851368
2293.286133	-66.938911
2298.669434	-64.343208
2304.052734	-62.150055
2309.436035	-62.557098
2314.819336	-58.713963
2320.202637	-55.562092
2325.585938	-58.480042
2330.969238	-65.106148
2336.352539	-66.169350
2341.735840	-63.601936
2347.119141	-59.221027
2352.502441	-53.818211
2357.885742	-51.151524
2363.269043	-47.858101
2368.652344	-45.870770
2374.035645	-48.953098
2379.418945	-54.708382
2384.802246	-59.224518
2390.185547	-61.604950
2395.568848	-63.675034
2400.952148	-64.864807
2406.335449	-67.740417
2411.718750	-69.027390
2417.102051	-67.725166
2422.485352	-69.081978
2427.868652	-70.615410
2433.251953	-69.556519
2438.635254	-68.738792
2444.018555	-65.089325
2449.401855	-66.371445
2454.785156	-70.222778
2460.168457	-70.578339
2465.551758	-69.246048
2470.935059	-65.967926
2476.318359	-62.894485
2481.701660	-61.348618
2487.084961	-57.025261
2492.468262	-53.154213
2497.851563	-55.235119
2503.234863	-60.894398
2508.618164	-65.870872
2514.001465	-66.549194
2519.384766	-60.099628
2524.768066	-59.750652
2530.151367	-64.027260
2535.534668	-64.391335
2540.917969	-67.363464
2546.301270	-70.754662
2551.684570	-69.568527
2557.067871	-67.387314
2562.451172	-67.383293
2567.834473	-69.764641
2573.217773	-69.015434
2578.601074	-67.856026
2583.984375	-65.360886
2589.367676	-63.999130
2594.750977	-61.140057
2600.134277	-62.110722
2605.517578	-63.884769
2610.900879	-64.888588
2616.284180	-63.059059
2621.667480	-62.523376
2627.050781	-59.211163
2632.434082	-58.475044
2637.817383	-52.908150
2643.200684	-50.020107
2648.583984	-53.466839
2653.967285	-54.986835
2659.350586	-50.750202
2664.733887	-50.357483
2670.117188	-53.924210
2675.500488	-56.446217
2680.883789	-60.346722
2686.267090	-62.959831
2691.650391	-65.516441
2697.033691	-65.587967
2702.416992	-65.920326
2707.800293	-70.326508
2713.183594	-69.523994
2718.566895	-67.629921
2723.950195	-67.698578
2729.333496	-69.892303
2734.716797	-69.759064
2740.100098	-69.201996
2745.483398	-70.562027
2750.866699	-71.524483
2756.250000	-72.455109
2761.633301	-72.056137
2767.016602	-70.083183
2772.399902	-64.425026
2777.783203	-60.132465
2783.166504	-60.087124
2788.549805	-61.978695
2793.933105	-59.853939
2799.316406	-58.561810
2804.699707	-58.180435
2810.083008	-61.121243
2815.466309	-65.084229
2820.849609	-65.845695
2826.232910	-65.781906
2831.616211	-64.321541
2836.999512	-60.368660
2842.382813	-62.188694
2847.766113	-68.085342
2853.149414	-67.669456
2858.532715	-64.404068
2863.916016	-67.411430
2869.299316	-71.151840
2874.682617	-68.462608
2880.065918	-69.908089
2885.449219	-72.596832
2890.832520	-72.749542
2896.215820	-68.573074
2901.599121	-64.279114
2906.982422	-66.376350
2912.365723	-69.618530
2917.749023	-66.752251
2923.132324	-65.962830
2928.515625	-69.810524
2933.898926	-71.711647
2939.282227	-70.876854
2944.665527	-68.334259
2950.048828	-64.113350
2955.432129	-61.849049
2960.815430	-56.716965
2966.198730	-53.582535
2971.582031	-56.923531
2976.965332	-61.939243
2982.348633	-62.491917
2987.731934	-58.906052
2993.115234	-58.283768
2998.498535	-56.476917
3003.881836	-55.646351
3009.265137	-60.105606
3014.648438	-63.090450
3020.031738	-66.250214
3025.415039	-68.029373
3030.798340	-65.743240
3036.181641	-68.539177
3041.564941	-72.501030
3046.948242	-71.718369
3052.331543	-69.639793
3057.714844	-68.288490
3063.098145	-69.760498
3068.481445	-70.997673
3073.864746	-69.839828
3079.248047	-68.430031
3084.631348	-64.187637
3090.014648	-63.063553
3095.397949	-65.371323
3100.781250	-68.449287
3106.164551	-68.405861
3111.547852	-63.747944
3116.931152	-60.239922
3122.314453	-60.762703
3127.697754	-63.530651
3133.081055	-65.013451
3138.464355	-63.100121
3143.847656	-61.364380
3149.230957	-60.949169
3154.614258	-61.456120
3159.997559	-59.771542
3165.380859	-55.983765
3170.764160	-57.237171
3176.147461	-57.592899
3181.530762	-53.414093
3186.914063	-54.730553
3192.297363	-61.360012
3197.680664	-65.885620
3203.063965	-67.123169
3208.447266	-63.464203
3213.830566	-63.955956
3219.213867	-69.688354
3224.597168	-69.497620
3229.980469	-67.935356
3235.363770	-66.008102
3240.747070	-66.689247
3246.130371	-71.512421
3251.513672	-73.873421
3256.896973	-73.105110
3262.280273	-68.002251
3267.663574	-66.436462
3273.046875	-67.497292
3278.430176	-64.737801
3283.813477	-66.465248
3289.196777	-71.027779
3294.580078	-72.533081
3299.963379	-73.373688
3305.346680	-73.055901
3310.729980	-68.031197
3316.113281	-67.763367
3321.496582	-71.848236
3326.879883	-71.379189
3332.263184	-67.353546
3337.646484	-63.929100
3343.029785	-62.280560
3348.413086	-63.409115
3353.796387	-67.951157
3359.179688	-65.432610
3364.562988	-60.512314
3369.946289	-61.851665
3375.329590	-70.303871
3380.712891	-73.486290
3386.096191	-74.418335
3391.479492	-74.362869
3396.862793	-73.739166
3402.246094	-75.000504
3407.629395	-76.291634
3413.012695	-74.163071
3418.395996	-70.270065
3423.779297	-68.307999
3429.162598	-68.126770
3434.545898	-72.343719
3439.929199	-75.012238
3445.312500	-74.087151
3450.695801	-71.719757
3456.079102	-63.852196
3461.462402	-58.183880
3466.845703	-60.158482
3472.229004	-65.069916
3477.612305	-66.945053
3482.995605	-71.739555
3488.378906	-74.184868
3493.762207	-71.231041
3499.145508	-67.921722
3504.528809	-68.688263
3509.912109	-66.202118
3515.295410	-58.254951
3520.678711	-54.927139
3526.062012	-59.303379
3531.445313	-65.062172
3536.828613	-63.238476
3542.211914	-59.100544
3547.595215	-58.343586
3552.978516	-57.297035
3558.361816	-58.384907
3563.745117	-59.861370
3569.128418	-54.349918
3574.511719	-53.322811
3579.895020	-57.552692
3585.278320	-61.954906
3590.661621	-63.280952
3596.044922	-66.076164
