Frequency (Hz)	Level (dB)
5.383301	-64.677238
10.766602	-74.966972
16.149902	-76.548218
21.533203	-75.961098
26.916504	-72.952469
32.299805	-72.205421
37.683105	-73.120010
43.066406	-71.797981
48.449707	-67.451065
53.833008	-58.887730
59.216309	-52.129704
64.599609	-52.081364
69.982910	-53.797352
75.366211	-52.896221
80.749512	-48.451134
86.132813	-46.271904
91.516113	-47.036957
96.899414	-45.195183
102.282715	-47.951256
107.666016	-50.141956
113.049316	-50.583012
118.432617	-45.696579
123.815918	-42.362228
129.199219	-44.559448
134.582520	-48.542355
139.965820	-50.116962
145.349121	-45.480640
150.732422	-47.636879
156.115723	-50.356831
161.499023	-41.933174
166.882324	-40.363052
172.265625	-37.607903
177.648926	-38.888008
183.032227	-45.509251
188.415527	-45.449760
193.798828	-39.482525
199.182129	-41.063019
204.565430	-50.194313
209.948730	-54.253262
215.332031	-47.764149
220.715332	-45.756599
226.098633	-50.920467
231.481934	-55.444275
236.865234	-53.100582
242.248535	-43.946819
247.631836	-40.851151
253.015137	-44.577129
258.398438	-38.863739
263.781738	-37.722801
269.165039	-44.869316
274.548340	-50.387257
279.931641	-51.372639
285.314941	-46.964157
290.698242	-36.816265
296.081543	-36.349091
301.464844	-45.131100
306.848145	-48.767700
312.231445	-50.216946
317.614746	-51.831215
322.998047	-45.136349
328.381348	-39.032372
333.764648	-41.732777
339.147949	-48.779907
344.531250	-41.385639
349.914551	-38.549404
355.297852	-45.123821
360.681152	-53.064938
366.064453	-48.109280
371.447754	-47.700676
376.831055	-52.990570
382.214355	-52.691856
387.597656	-43.048355
392.980957	-39.659733
398.364258	-44.919865
403.747559	-54.112419
409.130859	-53.478519
414.514160	-53.913063
419.897461	-55.598835
425.280762	-56.646355
430.664063	-51.167160
436.047363	-42.804821
441.430664	-41.491776
446.813965	-49.334644
452.197266	-56.601086
457.580566	-59.804550
462.963867	-58.295429
468.347168	-57.368610
473.730469	-54.781544
479.113770	-52.882626
484.497070	-46.057644
489.880371	-36.552967
495.263672	-34.761375
500.646973	-41.392708
506.030273	-48.777824
511.413574	-48.491371
516.796875	-39.817425
522.180176	-32.667679
527.563477	-35.320099
532.946777	-45.988605
538.330078	-52.221584
543.713379	-56.845081
549.096680	-54.152756
554.479980	-48.841751
559.863281	-49.836716
565.246582	-52.797058
570.629883	-51.552761
576.013184	-47.620056
581.396484	-37.219231
586.779785	-31.823605
592.163086	-36.013721
597.546387	-45.812195
602.929688	-50.124100
608.312988	-50.609226
613.696289	-47.732727
619.079590	-46.476730
624.462891	-52.203209
629.846191	-55.073395
635.229492	-54.098919
640.612793	-52.598747
645.996094	-50.965343
651.379395	-45.748528
656.762695	-37.231007
662.145996	-36.416832
667.529297	-44.498577
672.912598	-52.573044
678.295898	-53.384468
683.679199	-50.685028
689.062500	-50.994293
694.445801	-43.977219
699.829102	-41.708965
705.212402	-48.085930
710.595703	-56.204857
715.979004	-58.750137
721.362305	-59.547958
726.745605	-56.905445
732.128906	-50.113373
737.512207	-46.576778
742.895508	-47.382866
748.278809	-54.011318
753.662109	-58.331131
759.045410	-58.314426
764.428711	-56.209892
769.812012	-51.366085
775.195313	-50.319042
780.578613	-42.172638
785.961914	-39.468449
791.345215	-45.315800
796.728516	-55.478672
802.111816	-58.097721
807.495117	-56.936535
812.878418	-57.548153
818.261719	-51.786247
823.645020	-45.323219
829.028320	-46.972507
834.411621	-54.821110
839.794922	-58.267666
845.178223	-58.632320
850.561523	-57.351971
855.944824	-54.008759
861.328125	-48.164043
866.711426	-43.779663
872.094727	-38.551720
877.478027	-33.892159
882.861328	-33.362137
888.244629	-40.972504
893.627930	-48.691589
899.011230	-52.519588
904.394531	-53.106285
909.777832	-51.792694
915.161133	-50.095642
920.544434	-50.928165
925.927734	-53.395580
931.311035	-54.159386
936.694336	-54.877247
942.077637	-56.010265
947.460938	-55.615765
952.844238	-55.903851
958.227539	-51.478771
963.610840	-50.838238
968.994141	-50.940735
974.377441	-46.199455
979.760742	-40.343189
985.144043	-34.437057
990.527344	-32.947998
995.910645	-38.553909
1001.293945	-46.346191
1006.677246	-50.818272
1012.060547	-53.811092
1017.443848	-54.447697
1022.827148	-52.083000
1028.210449	-48.180496
1033.593750	-48.621655
1038.977051	-44.542614
1044.360352	-36.614552
1049.743652	-34.988724
1055.126953	-41.167549
1060.510254	-49.449638
1065.893555	-53.038887
1071.276855	-54.443573
1076.660156	-52.485302
1082.043457	-52.645992
1087.426758	-55.387249
1092.810059	-55.217426
1098.193359	-49.801758
1103.576660	-48.563137
1108.959961	-51.946262
1114.343262	-50.260815
1119.726563	-51.268837
1125.109863	-55.842899
1130.493164	-57.097813
1135.876465	-54.924202
1141.259766	-55.178562
1146.643066	-55.729549
1152.026367	-52.905018
1157.409668	-49.862030
1162.792969	-48.726788
1168.176270	-42.663029
1173.559570	-35.036568
1178.942871	-35.131611
1184.326172	-42.829319
1189.709473	-50.207844
1195.092773	-54.153957
1200.476074	-56.327568
1205.859375	-56.798023
1211.242676	-56.834850
1216.625977	-55.561657
1222.009277	-50.402370
1227.392578	-47.504879
1232.775879	-48.818935
1238.159180	-46.193565
1243.542480	-49.306625
1248.925781	-56.135239
1254.309082	-57.978577
1259.692383	-59.717606
1265.075684	-60.649090
1270.458984	-58.936005
1275.842285	-54.812702
1281.225586	-55.910114
1286.608887	-56.738483
1291.992188	-54.946507
1297.375488	-52.944595
1302.758789	-49.358410
1308.142090	-42.617443
1313.525391	-39.901390
1318.908691	-36.570148
1324.291992	-35.095535
1329.675293	-41.184738
1335.058594	-50.078094
1340.441895	-53.104187
1345.825195	-54.292019
1351.208496	-57.048450
1356.591797	-56.444904
1361.975098	-53.956680
1367.358398	-52.024113
1372.741699	-48.884026
1378.125000	-46.917488
1383.508301	-48.521957
1388.891602	-45.128265
1394.274902	-39.306919
1399.658203	-36.751579
1405.041504	-40.105183
1410.424805	-46.229309
1415.808105	-51.040859
1421.191406	-53.680355
1426.574707	-55.357452
1431.958008	-56.525848
1437.341309	-55.821804
1442.724609	-55.672943
1448.107910	-55.547836
1453.491211	-56.844315
1458.874512	-55.248444
1464.257813	-48.687054
1469.641113	-41.069275
1475.024414	-42.139153
1480.407715	-49.031155
1485.791016	-45.747444
1491.174316	-46.010738
1496.557617	-51.354164
1501.940918	-54.796665
1507.324219	-57.342670
1512.707520	-57.248142
1518.090820	-56.540306
1523.474121	-57.405689
1528.857422	-55.945591
1534.240723	-55.530338
1539.624023	-55.631874
1545.007324	-54.016308
1550.390625	-52.087845
1555.773926	-49.040524
1561.157227	-44.962128
1566.540527	-40.535538
1571.923828	-38.049179
1577.307129	-39.839123
1582.690430	-44.733875
1588.073730	-48.383217
1593.457031	-50.807411
1598.840332	-52.468037
1604.223633	-53.737297
1609.606934	-55.279831
1614.990234	-54.774548
1620.373535	-54.846786
1625.756836	-55.034843
1631.140137	-57.125534
1636.523438	-58.599308
1641.906738	-56.631939
1647.290039	-48.715534
1652.673340	-45.802109
1658.056641	-50.543903
1663.439941	-54.568130
1668.823242	-55.996254
1674.206543	-57.061932
1679.589844	-59.953259
1684.973145	-61.159508
1690.356445	-61.572174
1695.739746	-62.116348
1701.123047	-61.757023
1706.506348	-59.632084
1711.889648	-59.316380
1717.272949	-61.888100
1722.656250	-62.813618
1728.039551	-62.140079
1733.422852	-56.336136
1738.806152	-54.268707
1744.189453	-57.696877
1749.572754	-57.793911
1754.956055	-55.297035
1760.339355	-49.642094
1765.722656	-43.700470
1771.105957	-43.950867
1776.489258	-49.818836
1781.872559	-55.572029
1787.255859	-59.612007
1792.639160	-61.986504
1798.022461	-62.766323
1803.405762	-62.834175
1808.789063	-63.305275
1814.172363	-63.606884
1819.555664	-61.739021
1824.938965	-60.401588
1830.322266	-59.060642
1835.705566	-52.796173
1841.088867	-48.453671
1846.472168	-52.309364
1851.855469	-56.019733
1857.238770	-56.674114
1862.622070	-62.465824
1868.005371	-59.221523
1873.388672	-55.340191
1878.771973	-57.060791
1884.155273	-60.221977
1889.538574	-62.282124
1894.921875	-66.023514
1900.305176	-67.724625
1905.688477	-67.164642
1911.071777	-66.523552
1916.455078	-64.160454
1921.838379	-60.725521
1927.221680	-63.259159
1932.604980	-64.417900
1937.988281	-60.046391
1943.371582	-56.823811
1948.754883	-57.568401
1954.138184	-57.003567
1959.521484	-58.411961
1964.904785	-56.218472
1970.288086	-55.407589
1975.671387	-53.171509
1981.054688	-47.394691
1986.437988	-41.192410
1991.821289	-39.662479
1997.204590	-46.474056
2002.587891	-54.037540
2007.971191	-57.676151
2013.354492	-59.600529
2018.737793	-60.390430
2024.121094	-61.853691
2029.504395	-61.500019
2034.887695	-57.901779
2040.270996	-59.689255
2045.654297	-63.426247
2051.037598	-62.772026
2056.420898	-60.386871
2061.804199	-51.339886
2067.187500	-48.283768
2072.570801	-54.165623
2077.954102	-58.447742
2083.337402	-57.711021
2088.720703	-61.399258
2094.104004	-58.003895
2099.487305	-52.270809
2104.870605	-50.370560
2110.253906	-50.021351
2115.637207	-54.846508
2121.020508	-57.937984
2126.403809	-60.201786
2131.787109	-63.335278
2137.170410	-66.272209
2142.553711	-68.356071
2147.937012	-70.448212
2153.320313	-69.728661
2158.703613	-69.596062
2164.086914	-65.842674
2169.470215	-62.616077
2174.853516	-60.753201
2180.236816	-57.324879
2185.620117	-58.019737
2191.003418	-64.857727
2196.386719	-67.322571
2201.770020	-61.733086
2207.153320	-59.139481
2212.536621	-60.939747
2217.919922	-59.234074
2223.303223	-56.715416
2228.686523	-56.413193
2234.069824	-62.716465
2239.453125	-63.792553
2244.836426	-59.081879
2250.219727	-61.291946
2255.603027	-64.201660
2260.986328	-65.050194
2266.369629	-67.900398
2271.752930	-68.203178
2277.136230	-65.401634
2282.519531	-58.912155
2287.902832	-58.717358
2293.286133	-64.014687
2298.669434	-61.246647
2304.052734	-58.709572
2309.436035	-59.749161
2314.819336	-54.073982
2320.202637	-51.509438
2325.585938	-56.441887
2330.969238	-63.391632
2336.352539	-65.354179
2341.735840	-64.289162
2347.119141	-59.041759
2352.502441	-54.962368
2357.885742	-51.957230
2363.269043	-46.697956
2368.652344	-44.947235
2374.035645	-49.409607
2379.418945	-53.450279
2384.802246	-56.511509
2390.185547	-60.299305
2395.568848	-62.809952
2400.952148	-64.292877
2406.335449	-66.653549
2411.718750	-66.663040
2417.102051	-63.535858
2422.485352	-65.672813
2427.868652	-68.764801
2433.251953	-68.317047
2438.635254	-68.391335
2444.018555	-66.090279
2449.401855	-66.796860
2454.785156	-68.483948
2460.168457	-68.252769
2465.551758	-67.444305
2470.935059	-65.819733
2476.318359	-63.291245
2481.701660	-60.211777
2487.084961	-55.320526
2492.468262	-50.978073
2497.851563	-53.070469
2503.234863	-59.407898
2508.618164	-64.370438
2514.001465	-63.900452
2519.384766	-57.456505
2524.768066	-57.726788
2530.151367	-62.118423
2535.534668	-63.042629
2540.917969	-66.708611
2546.301270	-69.465492
2551.684570	-68.577888
2557.067871	-69.306465
2562.451172	-69.403122
2567.834473	-70.553352
2573.217773	-69.849113
2578.601074	-67.043610
2583.984375	-63.044281
2589.367676	-62.239052
2594.750977	-60.073956
2600.134277	-61.749035
2605.517578	-65.070686
2610.900879	-68.028938
2616.284180	-66.306793
2621.667480	-63.216518
2627.050781	-59.532494
2632.434082	-59.395332
2637.817383	-53.550694
2643.200684	-50.256195
2648.583984	-53.476120
2653.967285	-54.226620
2659.350586	-52.406040
2664.733887	-51.513100
2670.117188	-52.361805
2675.500488	-55.514366
2680.883789	-61.610661
2686.267090	-61.748482
2691.650391	-63.893108
2697.033691	-64.275749
2702.416992	-64.420830
2707.800293	-69.170792
2713.183594	-68.914116
2718.566895	-68.500511
2723.950195	-68.637909
2729.333496	-68.973587
2734.716797	-69.149223
2740.100098	-68.671997
2745.483398	-68.959534
2750.866699	-70.072937
2756.250000	-71.535126
2761.633301	-71.800270
2767.016602	-69.176842
2772.399902	-64.725792
2777.783203	-60.885361
2783.166504	-59.725037
2788.549805	-61.827110
2793.933105	-60.958347
2799.316406	-62.622681
2804.699707	-64.512558
2810.083008	-65.449188
2815.466309	-69.458092
2820.849609	-68.164742
2826.232910	-67.527725
2831.616211	-68.382027
2836.999512	-65.400940
2842.382813	-65.423073
2847.766113	-68.718414
2853.149414	-65.073669
2858.532715	-60.954887
2863.916016	-63.979862
2869.299316	-69.912682
2874.682617	-67.508469
2880.065918	-68.331917
2885.449219	-70.951233
2890.832520	-71.847603
2896.215820	-69.648476
2901.599121	-66.076172
2906.982422	-66.343437
2912.365723	-67.776505
2917.749023	-64.341347
2923.132324	-63.123394
2928.515625	-66.790535
2933.898926	-69.150650
2939.282227	-68.307724
2944.665527	-65.751114
2950.048828	-61.327892
2955.432129	-59.180035
2960.815430	-54.664909
2966.198730	-51.178028
2971.582031	-53.666374
2976.965332	-57.534016
2982.348633	-56.840256
2987.731934	-52.603821
2993.115234	-52.797295
2998.498535	-52.202843
3003.881836	-52.250900
3009.265137	-57.359959
3014.648438	-60.711224
3020.031738	-63.240303
3025.415039	-63.339191
3030.798340	-59.878098
3036.181641	-63.090248
3041.564941	-70.782738
3046.948242	-70.243401
3052.331543	-66.980515
3057.714844	-65.785858
3063.098145	-67.777466
3068.481445	-68.611816
3073.864746	-68.328667
3079.248047	-67.892609
3084.631348	-65.942497
3090.014648	-64.883377
3095.397949	-64.542267
3100.781250	-65.597824
3106.164551	-66.866959
3111.547852	-65.686172
3116.931152	-62.407494
3122.314453	-59.373577
3127.697754	-60.058220
3133.081055	-60.740677
3138.464355	-59.588680
3143.847656	-61.204853
3149.230957	-59.633492
3154.614258	-55.843784
3159.997559	-53.267525
3165.380859	-52.465149
3170.764160	-55.041451
3176.147461	-57.443798
3181.530762	-53.571701
3186.914063	-55.006790
3192.297363	-61.812508
3197.680664	-65.893433
3203.063965	-67.083809
3208.447266	-63.257202
3213.830566	-64.486488
3219.213867	-69.855263
3224.597168	-68.847633
3229.980469	-67.000763
3235.363770	-64.534187
3240.747070	-64.601250
3246.130371	-69.644676
3251.513672	-72.902725
3256.896973	-72.851456
3262.280273	-69.349861
3267.663574	-68.156410
3273.046875	-68.154312
3278.430176	-64.592560
3283.813477	-66.791283
3289.196777	-72.575363
3294.580078	-74.205109
3299.963379	-73.351433
3305.346680	-71.086273
3310.729980	-66.227371
3316.113281	-66.279968
3321.496582	-70.029327
3326.879883	-68.154671
3332.263184	-62.996391
3337.646484	-60.381367
3343.029785	-57.576168
3348.413086	-57.879078
3353.796387	-63.598965
3359.179688	-65.521584
3364.562988	-62.658913
3369.946289	-64.380058
3375.329590	-69.855133
3380.712891	-71.418060
3386.096191	-72.389023
3391.479492	-71.771484
3396.862793	-70.540733
3402.246094	-71.628807
3407.629395	-72.862045
3413.012695	-69.355331
3418.395996	-65.101875
3423.779297	-64.176247
3429.162598	-63.912102
3434.545898	-68.826492
3439.929199	-72.789871
3445.312500	-72.050987
3450.695801	-71.214119
3456.079102	-65.889656
3461.462402	-60.163639
3466.845703	-60.486668
3472.229004	-59.875366
3477.612305	-60.283161
3482.995605	-66.136124
3488.378906	-71.482880
3493.762207	-68.713928
3499.145508	-65.994217
3504.528809	-67.183914
3509.912109	-64.299088
3515.295410	-56.113647
3520.678711	-52.845024
3526.062012	-57.347752
3531.445313	-63.842995
3536.828613	-63.854977
3542.211914	-60.444057
3547.595215	-58.764755
3552.978516	-55.675713
3558.361816	-56.509197
3563.745117	-59.414089
3569.128418	-54.408939
3574.511719	-53.658768
3579.895020	-58.905602
3585.278320	-64.062096
3590.661621	-65.787582
3596.044922	-65.580139
3601.428223	-61.342163
3606.811523	-61.008968
3612.194824	-67.300369
3617.578125	-66.897949
3622.961426	-66.155724
3628.344727	-69.712204
3633.728027	-68.369553
3639.111328	-69.152412
3644.494629	-72.460861
3649.877930	-74.387520
3655.261230	-72.264015
3660.644531	-68.238525
3666.027832	-65.880447
3671.411133	-64.668701
3676.794434	-69.199326
3682.177734	-72.843842
3687.561035	-72.779938
3692.944336	-75.036507
3698.327637	-75.177826
3703.710938	-74.830345
3709.094238	-72.410751
3714.477539	-68.584785
3719.860840	-65.654778
3725.244141	-58.207542
3730.627441	-55.410320
3736.010742	-59.491486
3741.394043	-64.555801
3746.777344	-63.224201
3752.160645	-58.695572
3757.543945	-57.451862
3762.927246	-62.223263
3768.310547	-67.395592
3773.693848	-66.527550
3779.077148	-69.896080
3784.460449	-73.447701
3789.843750	-70.925720
3795.227051	-71.425507
3800.610352	-73.031013
3805.993652	-69.264122
3811.376953	-62.684376
3816.760254	-59.990845
3822.143555	-63.335819
3827.526855	-69.156227
3832.910156	-67.122993
3838.293457	-66.624626
3843.676758	-67.350777
3849.060059	-66.465508
3854.443359	-69.990967
3859.826660	-74.078766
3865.209961	-73.630737
3870.593262	-72.614182
3875.976563	-68.651924
3881.359863	-60.004570
3886.743164	-58.139183
3892.126465	-61.915096
3897.509766	-60.288960
3902.893066	-60.906956
3908.276367	-68.426750
3913.659668	-72.338165
3919.042969	-73.735733
3924.426270	-72.275856
3929.809570	-71.711540
3935.192871	-73.064362
3940.576172	-74.576019
3945.959473	-74.682663
3951.342773	-71.930923
3956.726074	-70.677505
3962.109375	-69.577927
3967.492676	-67.300194
3972.875977	-64.795807
3978.259277	-60.735176
3983.642578	-62.905933
