Frequency (Hz)	Level (dB)
5.383301	-63.904270
10.766602	-73.775276
16.149902	-74.479813
21.533203	-73.661613
26.916504	-70.524094
32.299805	-70.194885
37.683105	-70.081352
43.066406	-67.724945
48.449707	-65.436462
53.833008	-60.953224
59.216309	-57.744366
64.599609	-56.170647
69.982910	-53.887863
75.366211	-51.309589
80.749512	-46.251499
86.132813	-43.966648
91.516113	-46.220726
96.899414	-47.495171
102.282715	-47.545048
107.666016	-44.237896
113.049316	-45.511078
118.432617	-47.020123
123.815918	-44.467987
129.199219	-43.873779
134.582520	-46.660934
139.965820	-48.716465
145.349121	-44.191517
150.732422	-46.418274
156.115723	-48.219910
161.499023	-39.036850
166.882324	-38.272751
172.265625	-38.566479
177.648926	-40.467529
183.032227	-49.656937
188.415527	-48.348759
193.798828	-42.060162
199.182129	-43.591621
204.565430	-51.335850
209.948730	-52.511456
215.332031	-44.743862
220.715332	-42.469700
226.098633	-47.560013
231.481934	-52.035172
236.865234	-48.932915
242.248535	-38.910721
247.631836	-35.648426
253.015137	-40.764240
258.398438	-36.784527
263.781738	-35.785358
269.165039	-43.521297
274.548340	-49.107471
279.931641	-50.804169
285.314941	-47.836792
290.698242	-38.372761
296.081543	-37.790455
301.464844	-46.182053
306.848145	-51.300594
312.231445	-51.877701
317.614746	-51.201630
322.998047	-44.139824
328.381348	-38.059685
333.764648	-40.829659
339.147949	-49.051022
344.531250	-41.156570
349.914551	-37.883602
355.297852	-44.005936
360.681152	-51.125515
366.064453	-46.350597
371.447754	-45.495018
376.831055	-51.721355
382.214355	-51.876690
387.597656	-42.872360
392.980957	-39.609333
398.364258	-44.877094
403.747559	-52.479969
409.130859	-51.847546
414.514160	-52.510143
419.897461	-54.364872
425.280762	-54.998238
430.664063	-48.359604
436.047363	-38.262295
441.430664	-36.535275
446.813965	-44.042370
452.197266	-51.273270
457.580566	-55.771786
462.963867	-54.562916
468.347168	-54.380127
473.730469	-52.769081
479.113770	-50.596672
