Frequency (Hz)	Level (dB)
5.383301	-61.112751
10.766602	-61.159431
16.149902	-61.164379
21.533203	-61.225468
26.916504	-61.264008
32.299805	-61.101974
37.683105	-60.468658
43.066406	-59.526226
48.449707	-55.991600
53.833008	-46.509083
59.216309	-40.137436
64.599609	-34.087914
69.982910	-36.625290
75.366211	-39.291008
80.749512	-33.330639
86.132813	-31.167330
91.516113	-35.729984
96.899414	-42.337021
102.282715	-40.630424
107.666016	-34.128857
113.049316	-31.319609
118.432617	-32.007931
123.815918	-34.788414
129.199219	-29.860712
134.582520	-33.214390
139.965820	-44.580349
145.349121	-41.253052
150.732422	-43.128757
156.115723	-44.118874
161.499023	-34.857426
166.882324	-34.043770
172.265625	-34.797440
177.648926	-36.717773
183.032227	-45.232361
188.415527	-47.113068
193.798828	-39.386585
199.182129	-40.202698
204.565430	-45.738129
209.948730	-40.594086
215.332031	-30.148268
220.715332	-27.304153
226.098633	-35.086170
231.481934	-36.457279
236.865234	-37.493095
242.248535	-35.610909
247.631836	-31.426754
253.015137	-37.233189
258.398438	-31.209688
263.781738	-29.761379
269.165039	-35.432812
274.548340	-29.944490
279.931641	-30.740519
285.314941	-38.532722
290.698242	-31.148600
296.081543	-29.522409
301.464844	-37.902061
306.848145	-43.903908
312.231445	-43.717262
317.614746	-40.745445
322.998047	-31.335884
328.381348	-23.265472
333.764648	-25.534824
339.147949	-36.903378
344.531250	-31.230293
349.914551	-27.178204
355.297852	-32.900394
360.681152	-39.931282
366.064453	-29.555759
371.447754	-26.395071
376.831055	-33.677040
382.214355	-37.350342
387.597656	-30.504568
392.980957	-26.144375
398.364258	-31.873066
403.747559	-41.784317
409.130859	-43.687172
414.514160	-45.589794
419.897461	-48.982437
425.280762	-47.658585
430.664063	-43.695858
436.047363	-32.794048
441.430664	-29.412148
446.813965	-35.321049
452.197266	-45.457371
457.580566	-46.544342
462.963867	-37.709221
468.347168	-37.470516
473.730469	-47.326248
479.113770	-52.396873
484.497070	-52.718731
