Frequency (Hz)	Level (dB)
5.383301	-65.748909
10.766602	-74.025116
16.149902	-72.663986
21.533203	-67.287407
26.916504	-64.644676
32.299805	-66.155815
37.683105	-62.937138
43.066406	-58.893639
48.449707	-53.519363
53.833008	-47.516140
59.216309	-46.803669
64.599609	-47.326134
69.982910	-49.896473
75.366211	-49.042389
80.749512	-44.288452
86.132813	-43.117947
91.516113	-43.977467
96.899414	-41.783215
102.282715	-44.222988
107.666016	-43.290302
113.049316	-44.896664
118.432617	-45.418365
123.815918	-42.619118
129.199219	-43.877762
134.582520	-46.282486
139.965820	-50.788677
145.349121	-48.498402
150.732422	-50.196194
156.115723	-51.343624
161.499023	-42.853794
166.882324	-41.586926
172.265625	-39.809959
177.648926	-41.230164
183.032227	-47.273457
188.415527	-45.438042
193.798828	-39.546188
199.182129	-41.323826
204.565430	-50.411530
209.948730	-53.262024
215.332031	-45.465511
220.715332	-43.262009
226.098633	-48.570251
231.481934	-54.737064
236.865234	-53.622288
242.248535	-43.346115
247.631836	-40.178493
253.015137	-45.940804
258.398438	-42.602276
263.781738	-41.700455
269.165039	-49.329166
274.548340	-51.064014
279.931641	-53.555103
285.314941	-51.164677
290.698242	-42.111675
296.081543	-41.550106
301.464844	-48.599567
306.848145	-49.460976
312.231445	-51.475147
317.614746	-54.134232
322.998047	-46.732819
328.381348	-40.493309
333.764648	-43.151592
339.147949	-50.111477
344.531250	-43.013092
349.914551	-39.802444
355.297852	-45.827858
360.681152	-52.537930
366.064453	-47.302185
371.447754	-46.382961
376.831055	-52.427406
382.214355	-51.653801
387.597656	-43.122883
392.980957	-39.961750
398.364258	-45.330780
403.747559	-53.791649
409.130859	-53.658516
414.514160	-53.911942
419.897461	-55.981022
425.280762	-56.198246
430.664063	-49.339138
436.047363	-39.634621
441.430664	-37.989006
446.813965	-45.033382
452.197266	-51.409470
457.580566	-55.350872
462.963867	-55.211174
468.347168	-55.677902
473.730469	-53.987011
479.113770	-52.272980
484.497070	-45.545250
489.880371	-36.730782
495.263672	-35.061634
500.646973	-41.163631
506.030273	-48.574368
511.413574	-48.971554
516.796875	-41.776066
522.180176	-34.483383
527.563477	-36.246906
532.946777	-46.419144
538.330078	-51.766113
543.713379	-54.531029
549.096680	-51.000031
554.479980	-48.568886
559.863281	-50.439877
565.246582	-54.034569
570.629883	-53.381989
576.013184	-50.262489
581.396484	-41.254902
586.779785	-35.630142
592.163086	-39.046013
597.546387	-48.154415
602.929688	-50.809502
608.312988	-49.843433
613.696289	-47.499283
619.079590	-46.507614
624.462891	-52.665665
629.846191	-57.299076
635.229492	-55.568718
640.612793	-54.569958
645.996094	-53.364841
651.379395	-46.952946
656.762695	-40.740150
662.145996	-40.112713
667.529297	-47.027187
672.912598	-52.898502
678.295898	-52.147758
683.679199	-48.607651
689.062500	-50.204704
694.445801	-45.941319
699.829102	-42.020607
705.212402	-46.666328
710.595703	-54.968277
715.979004	-56.571209
721.362305	-56.925457
726.745605	-57.586281
732.128906	-52.916859
737.512207	-47.287468
742.895508	-46.903973
748.278809	-53.444588
753.662109	-57.301632
759.045410	-56.688587
764.428711	-52.663441
769.812012	-47.580101
775.195313	-48.973225
780.578613	-44.570007
785.961914	-41.235779
791.345215	-46.176750
796.728516	-55.154873
802.111816	-57.479965
807.495117	-57.185230
812.878418	-57.492725
818.261719	-52.722420
823.645020	-46.165916
829.028320	-47.806770
834.411621	-54.500561
839.794922	-56.436039
845.178223	-56.916134
850.561523	-56.369919
855.944824	-54.469105
861.328125	-49.551952
866.711426	-46.266331
872.094727	-41.683094
877.478027	-35.462086
882.861328	-34.424385
888.244629	-41.238613
893.627930	-49.023273
899.011230	-51.604717
904.394531	-52.487343
909.777832	-52.804375
915.161133	-51.774429
920.544434	-52.935379
925.927734	-54.881599
931.311035	-54.546360
936.694336	-55.512478
942.077637	-57.542233
947.460938	-57.133801
952.844238	-57.363640
958.227539	-52.103680
963.610840	-50.860905
968.994141	-52.275497
974.377441	-48.708817
979.760742	-42.981369
985.144043	-37.442707
990.527344	-35.911987
995.910645	-41.050385
1001.293945	-48.852261
1006.677246	-52.466434
1012.060547	-53.280113
1017.443848	-53.790070
1022.827148	-52.255268
1028.210449	-49.146549
1033.593750	-47.775204
1038.977051	-42.626122
1044.360352	-35.647675
1049.743652	-34.515869
1055.126953	-40.673172
1060.510254	-48.691509
1065.893555	-52.646496
1071.276855	-53.859226
1076.660156	-51.332603
1082.043457	-49.737106
1087.426758	-51.117203
1092.810059	-53.861214
1098.193359	-47.616562
1103.576660	-46.453358
1108.959961	-50.962509
1114.343262	-50.812347
1119.726563	-52.387959
1125.109863	-56.577305
1130.493164	-57.418484
1135.876465	-54.274178
1141.259766	-55.086842
1146.643066	-55.529873
1152.026367	-52.910686
1157.409668	-50.116070
1162.792969	-47.782345
1168.176270	-42.041447
1173.559570	-34.727467
1178.942871	-35.238312
1184.326172	-42.249504
1189.709473	-49.076851
1195.092773	-53.390457
1200.476074	-55.574242
1205.859375	-55.265926
1211.242676	-54.087952
1216.625977	-51.121525
1222.009277	-50.115971
1227.392578	-49.062740
1232.775879	-49.401558
1238.159180	-45.875694
1243.542480	-49.197823
1248.925781	-54.549686
1254.309082	-56.203655
1259.692383	-58.310314
1265.075684	-59.064072
1270.458984	-57.871449
1275.842285	-53.925900
1281.225586	-55.435955
1286.608887	-56.466919
1291.992188	-55.080570
1297.375488	-53.446609
1302.758789	-50.616535
1308.142090	-46.209381
1313.525391	-41.376396
1318.908691	-37.692287
1324.291992	-37.091331
1329.675293	-42.492836
1335.058594	-50.638428
1340.441895	-53.257523
1345.825195	-54.258770
1351.208496	-55.821712
1356.591797	-56.557358
1361.975098	-55.111076
1367.358398	-54.079945
1372.741699	-49.742516
1378.125000	-48.052490
1383.508301	-51.475971
1388.891602	-49.131966
1394.274902	-43.809666
1399.658203	-39.101284
1405.041504	-41.597538
1410.424805	-48.743259
1415.808105	-54.367542
1421.191406	-56.615101
1426.574707	-57.898499
1431.958008	-56.720955
1437.341309	-54.639610
