Frequency (Hz)	Level (dB)
5.383301	-64.722725
10.766602	-72.025070
16.149902	-70.717560
21.533203	-66.658035
26.916504	-63.754864
32.299805	-64.671204
37.683105	-61.946301
43.066406	-57.067806
48.449707	-53.690968
53.833008	-49.408894
59.216309	-47.267853
64.599609	-48.133556
69.982910	-51.304314
75.366211	-49.488033
80.749512	-44.130722
86.132813	-41.611839
91.516113	-42.356422
96.899414	-40.591942
102.282715	-42.924179
107.666016	-41.009441
113.049316	-42.754124
118.432617	-43.938740
123.815918	-40.783970
129.199219	-43.301399
134.582520	-47.006611
139.965820	-51.290047
145.349121	-49.211155
150.732422	-50.852264
156.115723	-50.564003
161.499023	-41.803120
166.882324	-40.714760
172.265625	-38.817204
177.648926	-40.512562
183.032227	-45.764202
188.415527	-44.378304
193.798828	-38.034370
199.182129	-39.947777
204.565430	-49.609711
209.948730	-51.686245
215.332031	-41.156021
220.715332	-38.791698
226.098633	-45.092094
231.481934	-53.122391
236.865234	-53.324280
242.248535	-42.451267
247.631836	-39.208549
253.015137	-45.260948
258.398438	-40.778694
263.781738	-39.835148
269.165039	-47.939587
274.548340	-49.673943
279.931641	-52.920483
285.314941	-51.799343
290.698242	-42.790764
296.081543	-42.519512
301.464844	-49.371090
306.848145	-47.676327
312.231445	-49.441860
317.614746	-53.212025
322.998047	-45.093098
328.381348	-38.099613
333.764648	-41.057671
339.147949	-49.316891
344.531250	-42.544254
349.914551	-39.066189
355.297852	-45.395298
360.681152	-52.676506
366.064453	-45.112816
371.447754	-43.645760
376.831055	-50.260780
382.214355	-50.265965
387.597656	-41.049229
392.980957	-37.913185
398.364258	-44.392086
403.747559	-54.675365
409.130859	-54.018909
414.514160	-53.750381
419.897461	-55.090038
425.280762	-54.948036
430.664063	-48.077713
436.047363	-37.291515
441.430664	-35.558563
446.813965	-43.906990
452.197266	-52.789413
457.580566	-57.147942
462.963867	-56.435394
468.347168	-56.352951
473.730469	-53.869480
479.113770	-51.815460
484.497070	-46.001404
489.880371	-36.685036
495.263672	-34.932636
500.646973	-41.489166
506.030273	-49.148510
511.413574	-50.203651
516.796875	-41.991051
522.180176	-34.628834
527.563477	-36.785347
532.946777	-47.786968
538.330078	-51.643284
543.713379	-52.914635
549.096680	-48.232613
554.479980	-45.812119
559.863281	-47.951576
565.246582	-53.049973
570.629883	-53.011986
576.013184	-50.680256
581.396484	-42.092667
586.779785	-36.176983
592.163086	-39.804169
597.546387	-48.566841
602.929688	-50.192184
608.312988	-48.620476
613.696289	-45.070747
619.079590	-43.769890
624.462891	-50.400066
629.846191	-56.296814
635.229492	-54.963676
640.612793	-54.179764
645.996094	-52.982403
651.379395	-46.511181
656.762695	-38.054146
662.145996	-37.523617
667.529297	-45.344173
672.912598	-52.057827
