Frequency (Hz)	Level (dB)
5.383301	-63.744263
10.766602	-72.650124
16.149902	-71.646080
21.533203	-66.831047
26.916504	-64.635605
32.299805	-65.727264
37.683105	-63.120880
43.066406	-59.337902
48.449707	-54.430103
53.833008	-49.589901
59.216309	-47.190300
64.599609	-48.329205
69.982910	-52.511223
75.366211	-50.877407
80.749512	-45.083668
86.132813	-42.947372
91.516113	-42.666424
96.899414	-39.914249
102.282715	-41.925625
107.666016	-39.666302
113.049316	-41.441143
118.432617	-43.476746
123.815918	-40.442970
129.199219	-42.755924
134.582520	-46.905598
139.965820	-50.689678
145.349121	-48.671101
150.732422	-50.379631
156.115723	-49.554882
161.499023	-40.223850
166.882324	-39.114296
172.265625	-37.248085
177.648926	-38.623703
183.032227	-44.713326
188.415527	-43.361130
193.798828	-37.107693
199.182129	-38.868374
204.565430	-47.801346
209.948730	-50.374924
215.332031	-41.392170
220.715332	-39.202248
226.098633	-44.578880
231.481934	-51.669312
236.865234	-52.197723
242.248535	-41.936626
247.631836	-38.784496
253.015137	-44.621414
258.398438	-40.380405
263.781738	-39.459721
269.165039	-47.531601
274.548340	-49.406551
279.931641	-52.300579
285.314941	-50.802708
290.698242	-41.867107
296.081543	-41.540432
301.464844	-49.113171
306.848145	-47.633820
312.231445	-49.195522
317.614746	-53.266972
322.998047	-45.482582
328.381348	-38.447716
333.764648	-41.284771
339.147949	-49.124451
344.531250	-42.087303
349.914551	-38.990986
355.297852	-45.389595
360.681152	-52.498123
366.064453	-45.166569
371.447754	-43.827957
376.831055	-49.892330
382.214355	-49.508007
387.597656	-40.723907
392.980957	-37.824100
398.364258	-44.297405
403.747559	-54.796982
409.130859	-54.608929
414.514160	-53.993927
419.897461	-54.407589
425.280762	-54.576912
430.664063	-47.533352
436.047363	-37.603310
441.430664	-36.302937
446.813965	-44.543285
452.197266	-52.790043
457.580566	-57.531696
462.963867	-57.601326
468.347168	-57.896317
473.730469	-56.302361
479.113770	-54.756062
484.497070	-47.174358
489.880371	-38.104877
495.263672	-36.719585
500.646973	-43.590752
506.030273	-50.536572
511.413574	-50.314800
516.796875	-42.053383
522.180176	-34.967854
527.563477	-37.088932
532.946777	-46.888344
538.330078	-50.940868
543.713379	-52.896111
549.096680	-48.539936
554.479980	-45.722305
559.863281	-47.744049
565.246582	-53.186962
570.629883	-53.872696
576.013184	-51.851566
581.396484	-43.234837
586.779785	-37.409958
592.163086	-40.805164
597.546387	-48.630386
602.929688	-50.263512
608.312988	-49.072746
613.696289	-45.162643
619.079590	-43.536652
624.462891	-50.269684
629.846191	-56.929337
635.229492	-55.975410
640.612793	-55.352108
645.996094	-54.692951
651.379395	-48.441017
656.762695	-39.328346
662.145996	-38.509060
667.529297	-45.758781
672.912598	-52.000103
678.295898	-51.055721
683.679199	-47.688263
689.062500	-49.284775
694.445801	-44.650982
699.829102	-41.387249
705.212402	-47.096214
710.595703	-55.730480
715.979004	-57.075054
721.362305	-60.003166
726.745605	-60.270412
732.128906	-55.479015
737.512207	-47.045296
742.895508	-45.921482
748.278809	-52.830524
753.662109	-56.623375
759.045410	-55.833710
764.428711	-50.124416
769.812012	-44.949955
775.195313	-46.825958
780.578613	-41.268002
785.961914	-38.544792
791.345215	-44.375942
796.728516	-53.346600
802.111816	-55.528996
807.495117	-56.249973
812.878418	-57.679733
818.261719	-51.156422
823.645020	-43.597084
829.028320	-45.365757
834.411621	-52.767288
839.794922	-54.223598
845.178223	-53.942062
850.561523	-52.890270
855.944824	-50.487995
861.328125	-45.735683
866.711426	-42.408436
872.094727	-37.783142
877.478027	-30.586508
882.861328	-29.274273
888.244629	-36.071335
893.627930	-44.427273
899.011230	-48.695465
904.394531	-50.218037
909.777832	-49.359570
