Frequency (Hz)	Level (dB)
5.383301	-62.976624
10.766602	-62.799038
16.149902	-61.047890
21.533203	-54.746014
26.916504	-49.623245
32.299805	-46.395741
37.683105	-45.466949
43.066406	-48.061832
48.449707	-51.850716
53.833008	-52.555450
59.216309	-49.614372
64.599609	-44.994244
69.982910	-43.592060
75.366211	-44.914646
80.749512	-43.869614
86.132813	-39.703369
91.516113	-36.798656
96.899414	-35.945484
102.282715	-35.085709
107.666016	-34.376598
113.049316	-33.409531
118.432617	-36.756763
123.815918	-31.903362
129.199219	-31.683456
134.582520	-33.997974
139.965820	-36.899128
145.349121	-38.733242
150.732422	-36.039673
156.115723	-36.978760
161.499023	-38.060684
166.882324	-37.933937
172.265625	-36.266113
177.648926	-32.169205
183.032227	-34.891068
188.415527	-36.838509
193.798828	-33.775494
199.182129	-28.919399
204.565430	-31.110260
209.948730	-35.422894
215.332031	-35.082119
220.715332	-29.243773
226.098633	-28.163122
231.481934	-34.924236
236.865234	-40.997887
242.248535	-42.992950
247.631836	-33.784019
253.015137	-29.356440
258.398438	-33.982533
263.781738	-35.709206
269.165039	-34.413082
274.548340	-40.528461
279.931641	-42.454330
285.314941	-42.913784
290.698242	-42.940502
296.081543	-33.293877
301.464844	-30.397375
306.848145	-37.092960
312.231445	-41.160191
317.614746	-40.121239
322.998047	-41.785797
328.381348	-40.187134
333.764648	-31.483566
339.147949	-30.493382
344.531250	-37.421112
349.914551	-39.374004
355.297852	-37.902924
360.681152	-39.907104
366.064453	-46.206680
371.447754	-42.552452
376.831055	-34.976879
382.214355	-36.382736
387.597656	-44.204464
392.980957	-37.857510
398.364258	-28.335167
403.747559	-28.355371
409.130859	-38.983612
414.514160	-45.226925
419.897461	-41.323399
425.280762	-38.364342
430.664063	-42.723267
436.047363	-42.641396
441.430664	-37.371086
446.813965	-27.698362
452.197266	-25.951405
457.580566	-32.820766
462.963867	-41.352417
468.347168	-45.546169
473.730469	-47.242592
479.113770	-44.894672
484.497070	-47.239578
489.880371	-47.307240
495.263672	-43.652813
500.646973	-33.874252
506.030273	-29.426590
511.413574	-33.012299
516.796875	-42.384041
522.180176	-45.249645
527.563477	-40.337757
532.946777	-31.215467
538.330078	-30.754414
543.713379	-39.272564
549.096680	-45.342510
554.479980	-46.544548
559.863281	-47.674236
565.246582	-47.132042
570.629883	-49.055523
576.013184	-46.865265
581.396484	-44.151276
586.779785	-43.787106
592.163086	-40.734665
597.546387	-31.288723
602.929688	-29.281054
608.312988	-35.102448
613.696289	-42.759506
619.079590	-43.422058
624.462891	-44.389362
629.846191	-43.807556
635.229492	-43.360867
640.612793	-46.175400
645.996094	-48.115604
651.379395	-44.779030
656.762695	-45.337391
662.145996	-43.875511
667.529297	-37.517151
672.912598	-26.810507
678.295898	-26.418274
683.679199	-36.297325
689.062500	-45.115543
694.445801	-43.295193
699.829102	-42.843678
705.212402	-46.044331
710.595703	-38.719398
715.979004	-35.795971
721.362305	-41.927963
726.745605	-49.973923
732.128906	-48.388279
737.512207	-48.975765
742.895508	-46.397770
748.278809	-46.228054
753.662109	-46.868599
759.045410	-45.549946
764.428711	-49.254620
769.812012	-52.825142
775.195313	-52.565163
780.578613	-51.383724
785.961914	-46.544323
791.345215	-45.241474
796.728516	-38.826080
802.111816	-33.689625
807.495117	-36.674152
812.878418	-43.872295
818.261719	-47.148869
823.645020	-46.674408
829.028320	-47.769135
834.411621	-49.968029
839.794922	-49.114075
845.178223	-43.751324
850.561523	-40.173660
855.944824	-42.823311
861.328125	-46.110470
866.711426	-47.410946
872.094727	-45.416527
877.478027	-47.251469
882.861328	-45.741917
888.244629	-41.371040
893.627930	-36.766415
899.011230	-29.366692
904.394531	-28.655176
909.777832	-35.190948
915.161133	-41.064377
920.544434	-44.152290
925.927734	-44.431442
931.311035	-46.753933
936.694336	-44.885136
942.077637	-42.530434
947.460938	-42.512295
952.844238	-43.701115
958.227539	-46.994881
963.610840	-50.807007
968.994141	-52.042709
974.377441	-51.434624
979.760742	-50.010220
985.144043	-47.198013
990.527344	-47.509174
995.910645	-47.179802
1001.293945	-39.971554
1006.677246	-33.702850
1012.060547	-32.369846
1017.443848	-35.650169
1022.827148	-41.114414
1028.210449	-45.712193
1033.593750	-48.831673
1038.977051	-49.190586
1044.360352	-49.667595
1049.743652	-48.802910
1055.126953	-45.901588
1060.510254	-44.866409
1065.893555	-38.283882
1071.276855	-32.908066
1076.660156	-33.749775
1082.043457	-38.725140
1087.426758	-42.553108
1092.810059	-44.201923
1098.193359	-46.294857
1103.576660	-47.379612
1108.959961	-48.184013
1114.343262	-50.509201
1119.726563	-50.316715
1125.109863	-43.366131
1130.493164	-43.197254
1135.876465	-49.408543
1141.259766	-49.534367
1146.643066	-49.159512
1152.026367	-52.208195
1157.409668	-54.095318
1162.792969	-52.961262
1168.176270	-51.454254
1173.559570	-51.902733
1178.942871	-50.508926
1184.326172	-48.770145
1189.709473	-50.033672
1195.092773	-48.112282
1200.476074	-41.225796
1205.859375	-39.136406
1211.242676	-42.900585
1216.625977	-48.001602
1222.009277	-50.664093
1227.392578	-52.348236
1232.775879	-52.163490
1238.159180	-51.089680
1243.542480	-49.986107
1248.925781	-50.006660
1254.309082	-47.525425
1259.692383	-48.214886
1265.075684	-51.456390
1270.458984	-50.386150
1275.842285	-49.389992
1281.225586	-50.892296
1286.608887	-53.265442
1291.992188	-54.676712
1297.375488	-53.848526
1302.758789	-53.748089
1308.142090	-51.229671
1313.525391	-51.565075
1318.908691	-45.514740
1324.291992	-43.913925
1329.675293	-48.457047
1335.058594	-48.279728
1340.441895	-41.790337
1345.825195	-37.006149
1351.208496	-35.664230
1356.591797	-37.813965
1361.975098	-43.904968
1367.358398	-42.962364
1372.741699	-43.763699
1378.125000	-51.116405
1383.508301	-52.191292
1388.891602	-49.896542
1394.274902	-49.571407
1399.658203	-51.573750
1405.041504	-48.949581
1410.424805	-45.963104
1415.808105	-48.750340
1421.191406	-49.049805
1426.574707	-43.094181
1431.958008	-41.771954
1437.341309	-47.021961
1442.724609	-52.715111
1448.107910	-53.671028
1453.491211	-53.317707
1458.874512	-51.153530
1464.257813	-49.694725
1469.641113	-48.613205
1475.024414	-49.083561
1480.407715	-46.511101
1485.791016	-45.157394
1491.174316	-47.464134
1496.557617	-51.001125
1501.940918	-53.796711
1507.324219	-47.190811
1512.707520	-46.548210
1518.090820	-48.932274
1523.474121	-46.433964
1528.857422	-49.293991
1534.240723	-47.943405
1539.624023	-45.693703
1545.007324	-51.262680
1550.390625	-54.884026
1555.773926	-49.854015
1561.157227	-47.919273
1566.540527	-52.410294
1571.923828	-54.217442
1577.307129	-46.741982
1582.690430	-42.295391
1588.073730	-46.951614
1593.457031	-50.303631
1598.840332	-43.953861
1604.223633	-39.821533
1609.606934	-43.057999
1614.990234	-48.198235
1620.373535	-50.617855
1625.756836	-52.503693
1631.140137	-53.990730
1636.523438	-55.739567
1641.906738	-55.700382
1647.290039	-54.710598
1652.673340	-54.295891
1658.056641	-51.782162
1663.439941	-51.655338
1668.823242	-52.947056
1674.206543	-51.787296
1679.589844	-53.648617
1684.973145	-54.169189
1690.356445	-49.380447
1695.739746	-44.824478
1701.123047	-44.416916
1706.506348	-46.561474
1711.889648	-49.858887
1717.272949	-51.313187
1722.656250	-49.320778
1728.039551	-52.044132
1733.422852	-52.815968
1738.806152	-51.402237
1744.189453	-52.275234
1749.572754	-51.963528
1754.956055	-49.400265
1760.339355	-49.403759
1765.722656	-52.433762
1771.105957	-51.389301
1776.489258	-47.136219
1781.872559	-46.351368
1787.255859	-47.429531
1792.639160	-43.428406
1798.022461	-36.933174
1803.405762	-35.533669
1808.789063	-39.451263
1814.172363	-39.965588
1819.555664	-42.278984
1824.938965	-48.906574
1830.322266	-51.656391
1835.705566	-52.146358
1841.088867	-53.276897
1846.472168	-53.504841
1851.855469	-53.117504
1857.238770	-53.285034
1862.622070	-52.978935
1868.005371	-54.202770
1873.388672	-55.425476
1878.771973	-54.759892
1884.155273	-53.520260
1889.538574	-50.329361
1894.921875	-48.945000
1900.305176	-52.295094
1905.688477	-54.232399
1911.071777	-52.875309
1916.455078	-52.802631
1921.838379	-54.271160
1927.221680	-55.375568
1932.604980	-58.288658
1937.988281	-59.395950
1943.371582	-58.447296
1948.754883	-57.217812
1954.138184	-58.168213
1959.521484	-57.549561
1964.904785	-55.379780
1970.288086	-51.062195
1975.671387	-50.305504
1981.054688	-51.492390
1986.437988	-51.737606
1991.821289	-52.009369
1997.204590	-51.113701
2002.587891	-48.307552
2007.971191	-46.120827
2013.354492	-39.388966
2018.737793	-34.403446
2024.121094	-36.399639
2029.504395	-40.684872
2034.887695	-43.563068
2040.270996	-44.035221
2045.654297	-46.177372
2051.037598	-50.360645
2056.420898	-52.150284
2061.804199	-52.804718
2067.187500	-54.466358
2072.570801	-52.478905
2077.954102	-52.369766
2083.337402	-53.112579
2088.720703	-54.044102
2094.104004	-54.628227
2099.487305	-54.178413
2104.870605	-53.055470
2110.253906	-51.427181
2115.637207	-49.762070
2121.020508	-47.332428
2126.403809	-44.420776
2131.787109	-39.598572
2137.170410	-34.873077
2142.553711	-34.177849
2147.937012	-35.711063
2153.320313	-35.449947
2158.703613	-40.119972
2164.086914	-45.485126
2169.470215	-45.922188
2174.853516	-48.428154
2180.236816	-51.876209
2185.620117	-52.022594
2191.003418	-54.324852
2196.386719	-55.201813
2201.770020	-53.830410
2207.153320	-54.526920
2212.536621	-54.053852
2217.919922	-54.693089
2223.303223	-56.686016
2228.686523	-55.753300
2234.069824	-54.758732
2239.453125	-56.199379
2244.836426	-57.043056
2250.219727	-58.142475
2255.603027	-57.046520
2260.986328	-53.383572
2266.369629	-53.711124
2271.752930	-49.187695
2277.136230	-47.782570
2282.519531	-52.394577
2287.902832	-54.753361
2293.286133	-53.868492
2298.669434	-52.163776
2304.052734	-54.427914
2309.436035	-56.143085
2314.819336	-57.469830
2320.202637	-59.407551
2325.585938	-59.325634
2330.969238	-59.031616
2336.352539	-58.975525
2341.735840	-58.676315
2347.119141	-58.781975
2352.502441	-59.614883
2357.885742	-58.749722
2363.269043	-56.403328
2368.652344	-56.734806
2374.035645	-58.771729
2379.418945	-57.141842
2384.802246	-53.993919
2390.185547	-55.141438
2395.568848	-58.402615
2400.952148	-58.308964
2406.335449	-53.712440
2411.718750	-47.942337
2417.102051	-47.304356
2422.485352	-47.863941
2427.868652	-46.441097
2433.251953	-48.880333
2438.635254	-53.465115
2444.018555	-54.820831
